Category,Subcategory,Item Name,ItemID,Catalog ID,Contract ID,contract total value,contract start date,contract end date,contract term,PurchaseID,User Name,UserID,Supplier Name,SupplierID,PurchaseDate,DeliveryDate,Quantity,Unit Price,TotalCost,CostCenter,GLAccount,Currency,Budget Owner,Budget,Budget Available,Department,Role,Country,Contact Number,Email,Rating,Avg Delivery Time,Lead Time,Reliability Score,Description,Specifications
HVAC Systems,Air Conditioning Unit,Carrier Infinity 21 Central AC,I226,,CNT010,134490.89,7/2/2024,7/2/2027,3 years,PO1713,Alexis Mcgee,US170,Hill-Lopez,SUP109,6/1/2024,7/1/2024,13,143.82,1869.66,CC164,GL20014,USD,April Snyder,1500000,1499633.27,Finance,Employee,India,+91 3937587667,hill-lopez@gmail.com,2.88,6,11,2.38,The Carrier Infinity 21 Central AC is a high-efficiency central air conditioning system with advanced features and quiet operation.,"Specs: 21 SEER, Greenspeed Intelligence, two-stage compressor, quiet operation."
Photography Equipment,Digital Camera,Sony Alpha a7 III,I203,,CNT012,3094.7,7/2/2024,7/2/2026,2 years,PO1714,Lucas Williams,US126,Clark-Roberts,SUP111,1/9/2024,1/28/2024,1,68.44,68.44,CC194,GL20044,USD,Janice Johnston,1500000,1499944.37,Production,Procurement Manager,Germany,+49 2606446484,clark-roberts@gmail.com,4.78,9,12,3.9,"The Sony Alpha a7 III is a versatile mirrorless camera with a 24.2MP sensor and 4K video recording, ideal for both photo and video enthusiasts.","Specs: 24.2MP full-frame sensor, 4K video, 10fps burst, 693-point AF."
Navigation & Tracking,GPS Tracking Device,Americaloc GL300W,I190,,CNT015,1346528.16,7/2/2024,7/2/2027,3 years,PO1715,Jason Barnes,US160,Scott-Morse,SUP114,3/20/2024,4/16/2024,15,106.56,1598.4,CC168,GL20018,USD,Jennifer Bates,1500000,1498839.6,Warehouse,Employee,Canada,+1 2910344694,scott-morse@gmail.com,3.18,10,13,2.57,"The Americaloc GL300W is a versatile GPS tracker with real-time tracking and extended battery life, ideal for various tracking needs.","Specs: 3-week battery life, real-time updates, geofencing, waterproof IP67."
HVAC Systems,Air Conditioning Unit,Honeywell MN12CES,I225,,CNT009,113326.49,7/2/2024,7/2/2026,2 years,PO1716,Carla Valencia,US119,Hughes-Baker,SUP108,1/16/2024,1/20/2024,4,291.58,1166.32,CC180,GL20030,USD,Sean Green,1500000,1499663.36,Marketing,Department Head,France,+33 7293335685,hughes-baker@gmail.com,2.16,5,9,4.49,The Honeywell MN12CES is a portable air conditioner with 12000 BTU cooling capacity and a compact design.,"Specs: 12,000 BTU, 3-in-1 design, dehumidifier, remote control."
Audio Equipment,Sound System,Bose L1 Compact,I212,,CNT008,170651.61,7/2/2024,7/2/2025,1 years,PO1717,Thomas Moore,US161,Martin-White,SUP107,6/13/2024,7/9/2024,15,98.15,1472.25,CC155,GL20005,USD,Kimberly Maynard,5000000,4999586.9,Maintenance,Department Head,China,+86 6305666875,martin-white@gmail.com,2.16,10,15,4.22,The Bose L1 Compact is a portable line array sound system with excellent sound quality and easy setup.,"Specs: 180W power, 2.5-hour battery life, 4-channel mixer, Bluetooth connectivity."
Power Backup,Generator,DuroMax XP12000EH,I168,,CNT003,430270.4,7/2/2024,7/2/2026,2 years,PO1718,Linda Hansen,US134,Evans Ltd,SUP102,2/8/2024,3/9/2024,15,58.97,884.55,CC158,GL20008,USD,April Snyder,100000,99344.05,Finance,Procurement Manager,Australia,+61 3792783940,evansltd@gmail.com,4.91,9,11,1.14,"The DuroMax XP12000EH is a powerful dual fuel generator with 12000 starting watts and 9500 running watts, perfect for heavy-duty use.","Specs: 457 cc engine, 8.3-hour run time, 260 lbs, dual fuel capability."
Navigation & Tracking,GPS Tracking Device,Garmin inReach Mini,I182,,CNT006,1615695.21,7/2/2024,7/2/2025,1 years,PO1719,Mrs. Tiffany Ho,US163,"Parker, Clark and Peterson",SUP105,5/17/2024,5/29/2024,19,182.91,3475.29,CC168,GL20018,USD,Jennifer Bates,1500000,1498728.9,Warehouse,Procurement Manager,UK,+44 2531987928,parkerclarkandpeterson@gmail.com,4.79,9,10,3.2,"The Garmin inReach Mini is a compact satellite communicator with GPS tracking and two-way messaging, ideal for outdoor adventures.","Specs: 100-hour battery life, global coverage, IP67 rating, SOS trigger."
Robotics,Industrial Robot,FANUC M-20iA,I173,,CNT006,523365.43,7/2/2024,7/2/2025,1 years,PO1720,Peter Garza,US108,"Parker, Clark and Peterson",SUP105,2/1/2024,2/11/2024,8,242.74,1941.92,CC183,GL20033,USD,Robin Lopez,80000,79276.56,Assembly,Procurement Manager,UK,+44 2531987928,parkerclarkandpeterson@gmail.com,4.79,9,10,3.2,"The FANUC M-20iA is a versatile industrial robot with a high payload and advanced motion control, ideal for a variety of manufacturing processes.","Specs: 20 kg payload, 1.8 m reach, IP67 protection, floor-mounted."
Servers & Data Centers,Server,Supermicro SuperServer 1029P-WTR,I237,,CNT001,332363.78,7/2/2024,7/2/2026,2 years,PO1721,Corey Murphy,US186,"Taylor, Smith and Co",SUP100,3/17/2024,4/2/2024,11,180.02,1980.22,CC157,GL20007,USD,Kimberly Maynard,5000000,4999423.49,Maintenance,Employee,Brazil,+55 4551244952,taylorsmithandco@gmail.com,2.91,9,12,1.86,"The Supermicro SuperServer 1029P-WTR is a high-performance server with advanced cooling and storage options, perfect for demanding applications.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, up to 10 NVMe drives."
HVAC Systems,Air Conditioning Unit,Friedrich Chill Premier,I229,,CNT002,14137.21,7/2/2024,7/2/2027,3 years,PO1722,Ms. Yvette Collins,US128,Green-Robinson,SUP101,4/6/2024,5/1/2024,5,242.54,1212.7,CC164,GL20014,USD,April Snyder,1500000,1499881.1,Finance,Procurement Manager,Japan,+81 1654376654,green-robinson@gmail.com,2.6,9,12,1.13,The Friedrich Chill Premier is a smart window air conditioner with Wi-Fi connectivity and 8000 BTU cooling capacity.,"Specs: 8,000 BTU, Wi-Fi enabled, energy-saving mode, remote access."
Photography Equipment,Digital Camera,GoPro HERO9 Black,I210,,CNT014,253532.39,7/2/2024,7/2/2027,3 years,PO1723,Carolyn Conner,US176,Roberts-Ferguson,SUP113,4/1/2024,4/11/2024,16,151.09,2417.44,CC170,GL20020,USD,Jennifer Bates,1500000,1499496.48,Warehouse,Employee,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,"The GoPro HERO9 Black is a versatile action camera with 5K video recording and advanced stabilization, ideal for adventure photography.","Specs: 20MP sensor, 5K video, HyperSmooth 3.0 stabilization, waterproof up to 10m."
Navigation & Tracking,GPS Tracking Device,Tracki 2020 Model Mini Tracker,I184,,CNT009,22776.85,7/2/2024,7/2/2027,3 years,PO1724,Gloria King,US173,Hughes-Baker,SUP108,5/15/2024,6/11/2024,4,138.88,555.52,CC176,GL20026,USD,Sean Green,1500000,1499849.08,Marketing,Procurement Manager,France,+33 7293335685,hughes-baker@gmail.com,2.16,5,9,4.49,The Tracki 2020 Model Mini Tracker offers real-time GPS tracking with global coverage and compact design.,"Specs: 5-day battery life, global coverage, IP67 rating, compact size."
Scanning Devices,Barcode Scanner,Symbol LS2208,I196,,CNT003,572246.86,7/2/2024,7/2/2025,1 years,PO1725,Joseph Lee,US155,Evans Ltd,SUP102,1/14/2024,2/11/2024,13,85.99,1117.87,CC153,GL20003,USD,Kimberly Maynard,5000000,4999243.53,Maintenance,Procurement Manager,Australia,+61 3792783940,evansltd@gmail.com,4.91,9,11,1.14,The Symbol LS2208 is a lightweight handheld barcode scanner with reliable performance and wide application range.,"Specs: 1D scanning, 17 ft range, IP42 rating, 100 scans/second."
Robotics,Industrial Robot,Omron Adept Viper s850,I181,,CNT009,31673.32,7/2/2024,7/2/2026,2 years,PO1726,Nathan Young,US136,Hughes-Baker,SUP108,4/14/2024,5/1/2024,13,277.29,3604.77,CC175,GL20025,USD,Sean Green,80000,79822.03,Marketing,Department Head,France,+33 7293335685,hughes-baker@gmail.com,2.16,5,9,4.49,"The Omron Adept Viper s850 is a high-speed industrial robot with a 5 kg payload, perfect for material handling and assembly.","Specs: 5 kg payload, 0.85 m reach, IP67 protection, table-top mounting."
Navigation &Tracking,GPS Tracking Device,LandAirSea 54,I185,,CNT002,353763.25,7/2/2024,7/2/2025,1 years,PO1727,Alicia Gilbert,US139,Green-Robinson,SUP101,6/14/2024,7/10/2024,6,140.04,840.24,CC00,GL0000,USD,Janice Johnston,100000,99405.22,Production,Department Head,Japan,+81 1654376654,green-robinson@gmail.com,2.6,9,12,1.13,"The LandAirSea 54 is a waterproof GPS tracker with real-time tracking and geofencing capabilities, ideal for vehicle tracking.","Specs: Waterproof IP67, 2-week battery life, geofencing, real-time updates."
Photography Equipment,Digital Camera,Leica Q2,I208,,CNT010,582474.24,7/2/2024,7/2/2026,2 years,PO1728,Ashley Matthews,US200,Hill-Lopez,SUP109,3/22/2024,3/29/2024,10,58.65,586.5,CC154,GL20004,USD,Kimberly Maynard,1500000,1499236.8,Maintenance,Department Head,India,+91 3937587667,hill-lopez@gmail.com,2.88,6,11,2.38,"The Leica Q2 is a premium compact camera with a 47.3MP full-frame sensor and 4Kvideo recording, known for its exceptional image quality.","Specs: 47.3MP full-frame sensor, 4K video, 10fps burst, 28mm f/1.7 lens."
Servers & Data Centers,Server,Cisco UCS C220 M5,I235,,CNT003,466215.84,7/2/2024,7/2/2027,3 years,PO1729,Joanne Walker,US154,Evans Ltd,SUP102,2/10/2024,2/29/2024,8,209.07,1672.56,CC157,GL20007,USD,Kimberly Maynard,5000000,4999317.2,Maintenance,Procurement Manager,Australia,+61 3792783940,evansltd@gmail.com,4.91,9,11,1.14,"The Cisco UCS C220 M5 is a rack server with high performance and scalability, ideal for various data center workloads.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, Cisco UCS Manager integration."
Servers & Data Centers,Server,Inspur Systems NF5280M5,I241,,CNT001,535589.79,7/2/2024,7/2/2027,3 years,PO1730,Mary Clay,US198,"Taylor, Smith and Co",SUP100,5/6/2024,5/16/2024,8,54.41,435.28,CC165,GL20015,USD,April Snyder,5000000,4999268.16,Finance,Department Head,Brazil,+55 4551244952,taylorsmithandco@gmail.com,2.91,9,12,1.86,"The Inspur Systems NF5280M5 is a high-performance server with flexible storage options and advanced reliability features, perfect for data-intensive applications.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, up to 16 NVMe drives."
Servers & Data Centers,Server,Cisco UCS C220 M5,I235,,CNT004,182115.56,7/2/2024,7/2/2025,1 years,PO1731,Gregory Richards,US116,Brown and Sons,SUP103,4/4/2024,4/25/2024,5,232.63,1163.15,CC157,GL20007,USD,Kimberly Maynard,5000000,4999573.25,Maintenance,Procurement Manager,UK,+44 6013776014,brownandsons@gmail.com,3.16,8,12,4.27,"The Cisco UCS C220 M5 is a rack server with high performance and scalability, ideal for various data center workloads.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, Cisco UCS Manager integration."
HVAC Systems,Air Conditioning Unit,GE Profile PHC08LY,I231,,CNT001,242950.41,7/2/2024,7/2/2025,1 years,PO1732,Andrea Coleman,US194,"Taylor, Smith and Co",SUP100,2/29/2024,3/18/2024,15,150.99,2264.85,CC196,GL20046,USD,Janice Johnston,1500000,1499507.1,Production,Employee,Brazil,+55 4551244952,taylorsmithandco@gmail.com,2.91,9,12,1.86,The GE Profile PHC08LY is a smart window air conditioner with Wi-Fi connectivity and 8000 BTU cooling capacity.,"Specs: 8,000 BTU, Wi-Fi enabled, energy-saving mode, remote access."
Power Backup,Generator,Firman W03083,I170,,CNT006,326543.67,7/2/2024,7/2/2025,1 years,PO1733,Shawn Zuniga,US195,"Parker, Clark and Peterson",SUP105,1/5/2024,1/8/2024,6,55.2,331.2,CC166,GL20016,USD,Jennifer Bates,100000,99428.56,Warehouse,Procurement Manager,UK,+44 2531987928,parkerclarkandpeterson@gmail.com,4.79,9,10,3.2,"The Firman W03083 is a versatile inverter generator with 3300 starting watts and 3000 running watts, featuring remote start capabilities.","Specs: 171 cc engine, 9-hour run time, 94 lbs, remote start."
Navigation & Tracking,GPS Tracking Device,Jiobit Smart Tag,I191,,CNT016,118997.4,7/2/2024,7/2/2025,1 years,PO1734,Michael Richmond,US143,"Gonzalez, Turner and Allen",SUP115,3/31/2024,4/9/2024,11,109.62,1205.82,CC152,GL20002,USD,Kimberly Maynard,1500000,1499655.04,Maintenance,Department Head,China,+86 2265673257,gonzalezturnerandallen@gmail.com,3.37,5,10,1.85,"The Jiobit Smart Tag is a compact GPS tracker with real-time location tracking, perfect for keeping track of children and pets.","Specs: Real-time tracking, geofencing, long battery life, waterproof."
Servers & Data Centers,Server,HPE ProLiant DL380 Gen10,I233,,CNT014,558995.48,7/2/2024,7/2/2026,2 years,PO1735,Jason Bishop,US130,Roberts-Ferguson,SUP113,3/29/2024,4/26/2024,17,52.75,896.75,CC173,GL20023,USD,Jennifer Bates,5000000,4999252.34,Warehouse,Department Head,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,"The HPE ProLiant DL380 Gen10 is a versatile server with high performance and advanced security features, perfect for enterprise applications.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, HPE Silicon Root of Trust."
Photography Equipment,Digital Camera,Pentax K-1 Mark II,I209,,CNT005,66275.35,7/2/2024,7/2/2026,2 years,PO1736,Haley Anderson,US158,"Campbell, Murphy and Olson",SUP104,5/27/2024,5/28/2024,4,241.94,967.76,CC162,GL20012,USD,April Snyder,1500000,1499742.56,Finance,Department Head,Germany,+49 6910688132,campbellmurphyandolson@gmail.com,2.79,3,5,4.31,"The Pentax K-1 Mark II is a professional DSLR camera with a 36.4MP sensor and 4K video recording, designed for high-resolution photography.","Specs: 36.4MP full-frame sensor, 4K video, 4.4fps burst, 33-point AF."
Servers & Data Centers,Server,Huawei FusionServer 2288H V5,I239,,CNT003,1884909.33,7/2/2024,7/2/2026,2 years,PO1737,Donna Patrick,US167,Evans Ltd,SUP102,5/14/2024,6/12/2024,17,207.6,3529.2,CC165,GL20015,USD,April Snyder,5000000,4998627.08,Finance,Employee,Australia,+61 3792783940,evansltd@gmail.com,4.91,9,11,1.14,"The Huawei FusionServer 2288H V5 is a high-performance server with advanced features and flexible storage options, designed for data centers.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, up to 10 NVMe drives."
HVAC Systems,Air Conditioning Unit,Mitsubishi Electric MFZ-KJ09NA,I227,,CNT001,1985393.72,7/2/2024,7/2/2025,1 years,PO1738,Teresa Hunter,US135,"Taylor, Smith and Co",SUP100,3/18/2024,3/20/2024,18,72.94,1312.92,CC188,GL20038,USD,Robin Lopez,1500000,1498590.96,Assembly,Procurement Manager,Brazil,+55 4551244952,taylorsmithandco@gmail.com,2.91,9,12,1.86,The Mitsubishi Electric MFZ-KJ09NA is a floor-mounted air conditioning unit with high efficiency and advanced filtration.,"Specs: 9,000 BTU, 24.6 SEER, HEPA air filter, quiet operation."
Navigation & Tracking,GPS Tracking Device,Vyncs GPS Tracker,I187,,CNT013,84820.74,7/2/2024,7/2/2025,1 years,PO1739,Zachary Ruiz,US104,Lewis-Williams,SUP112,3/26/2024,4/16/2024,6,238.77,1432.62,CC152,GL20002,USD,Kimberly Maynard,1500000,1499708.76,Maintenance,Department Head,Brazil,+55 7452780962,lewis-williams@gmail.com,3.33,7,9,2.51,"The Vyncs GPS Tracker offers real-time tracking with vehicle diagnostics and trip history, suitable for fleet management.","Specs: Real-time tracking, engine diagnostics, trip history, geofencing."
Photography Equipment,Digital Camera,Panasonic Lumix GH5,I206,,CNT008,330947.08,7/2/2024,7/2/2026,2 years,PO1740,Joshua Wood,US101,Martin-White,SUP107,2/5/2024,3/2/2024,9,254.91,2294.19,CC178,GL20028,USD,Sean Green,1500000,1499424.72,Marketing,Department Head,China,+86 6305666875,martin-white@gmail.com,2.16,10,15,4.22,"The Panasonic Lumix GH5 is a mirrorless camera with a 20.3MP sensor and 4K video recording, ideal for professional video production.","Specs: 20.3MP Micro Four Thirds sensor, 4K 60p video, 12fps burst, 5-axis IBIS."
Robotics,Industrial Robot,Yaskawa Motoman MH24,I175,,CNT014,129816.09,7/2/2024,7/2/2025,1 years,PO1741,Matthew Willis,US185,Roberts-Ferguson,SUP113,3/29/2024,4/15/2024,10,210.62,2106.2,CC159,GL20009,USD,April Snyder,80000,79639.7,Finance,Procurement Manager,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,"The Yaskawa Motoman MH24 is a high-performance industrial robot with a 24 kg payload capacity, suitable for welding, handling, and assembly.","Specs: 24 kg payload, 3.1 m reach, IP67 protection, floor-mounted."
Scanning Devices,Barcode Scanner,TaoTronics Handheld Scanner,I199,,CNT003,284899.74,7/2/2024,7/2/2027,3 years,PO1742,Tyler Mosley,US132,Evans Ltd,SUP102,6/23/2024,7/14/2024,16,128.17,2050.72,CC161,GL20011,USD,April Snyder,5000000,4999466.24,Finance,Department Head,Australia,+61 3792783940,evansltd@gmail.com,4.91,9,11,1.14,The TaoTronics Handheld Scanner provides reliable scanning with a lightweight and ergonomic design.,"Specs: 1D/2D scanning, 15 ft range, bluetooth connectivity, 2000 mAh battery."
Audio Equipment,Sound System,Behringer Europort PPA500BT,I220,,CNT011,941520.9,7/2/2024,7/2/2025,1 years,PO1743,Thomas Moore,US161,Gonzalez Inc,SUP110,1/8/2024,1/10/2024,13,51.04,663.52,CC155,GL20005,USD,Kimberly Maynard,5000000,4999029.68,Maintenance,Department Head,Brazil,+55 6704278326,gonzalezinc@gmail.com,3.27,9,13,3.88,"The Behringer Europort PPA500BT is a portable PA system with Bluetooth connectivity and high-quality sound, perfect for small events.","Specs: 500W power, 8-inch woofer, 3-channel mixer, Bluetooth streaming."
HVAC Systems,Air Conditioning Unit,Haier ESAQ406T,I228,,CNT004,2372955.39,7/2/2024,7/2/2027,3 years,PO1744,Ms. Yvette Collins,US128,Brown and Sons,SUP103,5/19/2024,5/21/2024,18,97.14,1748.52,CC164,GL20014,USD,April Snyder,1500000,1498459.56,Finance,Procurement Manager,UK,+44 6013776014,brownandsons@gmail.com,3.16,8,12,4.27,The Haier ESAQ406T is a quiet window air conditioner with 6050 BTU cooling capacity and energy-saving features.,"Specs: 6,050 BTU, 11.2 EER, energy saver mode, remote control."
Robotics,Industrial Robot,Mitsubishi RV-7FR,I177,,CNT003,838067.01,7/2/2024,7/2/2026,2 years,PO1745,Tony Hobbs,US162,Evans Ltd,SUP102,2/19/2024,3/14/2024,14,96.15,1346.1,CC175,GL20025,USD,Sean Green,80000,79084.54,Marketing,Department Head,Australia,+61 3792783940,evansltd@gmail.com,4.91,9,11,1.14,"The Mitsubishi RV-7FR is a compact industrial robot with a 7 kg payload and high-speed capabilities, ideal for precision tasks.","Specs: 7 kg payload, 0.72 m reach, IP67 protection, table-top mounting."
Robotics,Industrial Robot,Universal Robots UR10,I176,,CNT006,3140.48,7/2/2024,7/2/2027,3 years,PO1746,Selena Ritter,US118,"Parker, Clark and Peterson",SUP105,3/12/2024,4/4/2024,4,161.46,645.84,CC167,GL20017,USD,Jennifer Bates,80000,79943.96,Warehouse,Employee,UK,+44 2531987928,parkerclarkandpeterson@gmail.com,4.79,9,10,3.2,"The Universal Robots UR10 is a flexible industrial robot with a 10 kg payload and a reach of 1300 mm, perfect for collaborative applications.","Specs: 10 kg payload, 1.3 m reach, IP64 protection, table-top mounting."
HVAC Systems,Air Conditioning Unit,Carrier Infinity 21 Central AC,I226,,CNT014,114595.79,7/2/2024,7/2/2026,2 years,PO1747,Tony Hobbs,US162,Roberts-Ferguson,SUP113,6/13/2024,7/12/2024,12,250.34,3004.08,CC180,GL20030,USD,Sean Green,1500000,1499661.48,Marketing,Department Head,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,The Carrier Infinity 21 Central AC is a high-efficiency central air conditioning system with advanced features and quiet operation.,"Specs: 21 SEER, Greenspeed Intelligence, two-stage compressor, quiet operation."
Navigation & Tracking,GPS Tracking Device,Jiobit Smart Tag,I191,,CNT013,79659.42,7/2/2024,7/2/2027,3 years,PO1748,Karen Fowler,US105,Lewis-Williams,SUP112,3/13/2024,4/7/2024,9,113.47,1021.23,CC152,GL20002,USD,Kimberly Maynard,1500000,1499717.76,Maintenance,Employee,Brazil,+55 7452780962,lewis-williams@gmail.com,3.33,7,9,2.51,"The Jiobit Smart Tag is a compact GPS tracker with real-time location tracking, perfect for keeping track of children and pets.","Specs: Real-time tracking, geofencing, long battery life, waterproof."
Scanning Devices,Barcode Scanner,Honeywell Voyager 1250g,I193,,CNT015,128486.4,7/2/2024,7/2/2026,2 years,PO1749,Frank Cook,US151,Scott-Morse,SUP114,3/27/2024,4/10/2024,5,192.99,964.95,CC153,GL20003,USD,Kimberly Maynard,5000000,4999641.55,Maintenance,Department Head,Canada,+1 2910344694,scott-morse@gmail.com,3.18,10,13,2.57,"The Honeywell Voyager 1250g is a laser barcode scanner with aggressive scanning performance, ideal for retail and light industrial applications.","Specs: 1D scanning, IP42 rating, 16 ft range, 100 scans/second."
Scanning Devices,Barcode Scanner,Honeywell Voyager 1250g,I193,,CNT009,1485302.81,7/2/2024,7/2/2025,1 years,PO1750,Nathan Koch,US110,Hughes-Baker,SUP108,4/12/2024,4/14/2024,17,204.17,3470.89,CC177,GL20027,USD,Sean Green,5000000,4998781.27,Marketing,Department Head,France,+33 7293335685,hughes-baker@gmail.com,2.16,5,9,4.49,"The Honeywell Voyager 1250g is a laser barcode scanner with aggressive scanning performance, ideal for retail and light industrial applications.","Specs: 1D scanning, IP42 rating, 16 ft range, 100 scans/second."
Audio Equipment,Sound System,QSC K12.2,I215,,CNT002,31258.24,7/2/2024,7/2/2027,3 years,PO1751,Karen Fowler,US105,Green-Robinson,SUP101,3/11/2024,3/30/2024,13,283.4,3684.2,CC155,GL20005,USD,Kimberly Maynard,5000000,4999823.2,Maintenance,Employee,Japan,+81 1654376654,green-robinson@gmail.com,2.6,9,12,1.13,"The QSC K12.2 is a powerful active speaker with advanced DSP and high output, suitable for professional audio applications.","Specs: 1000W power, 12-inch woofer, 2-way active speaker, DSP processing."
Scanning Devices,Barcode Scanner,Honeywell Voyager 1250g,I193,,CNT002,1007333.4,7/2/2024,7/2/2027,3 years,PO1752,David Herrera,US193,Green-Robinson,SUP101,4/25/2024,5/22/2024,14,271.05,3794.7,CC177,GL20027,USD,Sean Green,5000000,4998996.34,Marketing,Procurement Manager,Japan,+81 1654376654,green-robinson@gmail.com,2.6,9,12,1.13,"The Honeywell Voyager 1250g is a laser barcode scanner with aggressive scanning performance, ideal for retail and light industrial applications.","Specs: 1D scanning, IP42 rating, 16 ft range, 100 scans/second."
Audio Equipment,Sound System,Fender Passport Event,I219,,CNT002,43409.72,7/2/2024,7/2/2027,3 years,PO1753,Amy Burton,US140,Green-Robinson,SUP101,3/19/2024,4/3/2024,3,79.16,237.48,CC195,GL20045,USD,Janice Johnston,5000000,4999791.65,Production,Employee,Japan,+81 1654376654,green-robinson@gmail.com,2.6,9,12,1.13,"The Fender Passport Event is a compact and easy-to-use portable PA system with excellent sound quality, ideal for public speaking and music.","Specs: 375W power, 7-channel mixer, 2x6-inch speakers, Bluetooth streaming."
Navigation & Tracking,GPS Tracking Device,Vyncs GPS Tracker,I187,,CNT006,21205.18,7/2/2024,7/2/2026,2 years,PO1754,Matthew Willis,US185,"Parker, Clark and Peterson",SUP105,2/13/2024,3/11/2024,3,186.81,560.43,CC160,GL20010,USD,April Snyder,1500000,1499854.38,Finance,Procurement Manager,UK,+44 2531987928,parkerclarkandpeterson@gmail.com,4.79,9,10,3.2,"The Vyncs GPS Tracker offers real-time tracking with vehicle diagnostics and trip history, suitable for fleet management.","Specs: Real-time tracking, engine diagnostics, trip history, geofencing."
Robotics,Industrial Robot,Kawasaki RS007N,I180,,CNT002,66564,7/2/2024,7/2/2027,3 years,PO1755,Teresa Hunter,US135,Green-Robinson,SUP101,1/1/2024,1/8/2024,4,129.16,516.64,CC183,GL20033,USD,Robin Lopez,80000,79742,Assembly,Procurement Manager,Japan,+81 1654376654,green-robinson@gmail.com,2.6,9,12,1.13,"The Kawasaki RS007N is a compact industrial robot with a 7 kg payload and high-speed capabilities, ideal for small part handling.","Specs: 7 kg payload, 0.72 m reach, IP67 protection, table-top mounting."
Navigation & Tracking,GPS Tracking Device,Vyncs GPS Tracker,I187,,CNT004,235613.16,7/2/2024,7/2/2026,2 years,PO1756,Dominique Brown,US122,Brown and Sons,SUP103,6/5/2024,6/12/2024,10,275.51,2755.1,CC160,GL20010,USD,April Snyder,1500000,1499514.6,Finance,Department Head,UK,+44 6013776014,brownandsons@gmail.com,3.16,8,12,4.27,"The Vyncs GPS Tracker offers real-time tracking with vehicle diagnostics and trip history, suitable for fleet management.","Specs: Real-time tracking, engine diagnostics, trip history, geofencing."
Navigation & Tracking,GPS Tracking Device,Spytec GL300,I183,,CNT008,39920.04,7/2/2024,7/2/2025,1 years,PO1757,Tyler Mosley,US132,Martin-White,SUP107,2/10/2024,2/20/2024,2,300.39,600.78,CC160,GL20010,USD,April Snyder,1500000,1499800.2,Finance,Department Head,China,+86 6305666875,martin-white@gmail.com,2.16,10,15,4.22,"The Spytec GL300 is a reliable GPS tracker with real-time tracking and long battery life, suitable for personal and vehicle tracking.","Specs: 2-week battery life, real-time updates, geofencing, IP66 rating."
Scanning Devices,Barcode Scanner,Tera Pro Series 2D,I201,,CNT013,80066.36,7/2/2024,7/2/2027,3 years,PO1758,Zachary Ruiz,US104,Lewis-Williams,SUP112,2/20/2024,3/14/2024,4,232.23,928.92,CC153,GL20003,USD,Kimberly Maynard,5000000,4999717.04,Maintenance,Department Head,Brazil,+55 7452780962,lewis-williams@gmail.com,3.33,7,9,2.51,The Tera Pro Series 2D is an advanced barcode scanner with high-speed scanning and wide compatibility.,"Specs: 1D/2D scanning, 50 ft range, IP65 rating, 2000 scans/second."
Navigation & Tracking,GPS Tracking Device,Optimus 2.0,I189,,CNT012,246611.56,7/2/2024,7/2/2026,2 years,PO1759,Mary Gross,US199,Clark-Roberts,SUP111,6/1/2024,6/29/2024,5,266.78,1333.9,CC176,GL20026,USD,Sean Green,1500000,1499503.4,Marketing,Department Head,Germany,+49 2606446484,clark-roberts@gmail.com,4.78,9,12,3.9,"The Optimus 2.0 is a compact GPS tracker with real-time tracking and long battery life, suitable for personal and asset tracking.","Specs: 4-week battery life, real-time updates, geofencing, IP67 rating."
Scanning Devices,Barcode Scanner,Eyoyo Mini Wireless Scanner,I200,,CNT015,34800.9,7/2/2024,7/2/2026,2 years,PO1760,Jeffrey Wolfe,US150,Scott-Morse,SUP114,3/12/2024,3/19/2024,7,281.84,1972.88,CC193,GL20043,USD,Janice Johnston,5000000,4999813.45,Production,Department Head,Canada,+1 2910344694,scott-morse@gmail.com,3.18,10,13,2.57,The Eyoyo Mini Wireless Scanner is a compact and portable scanner with fast and accurate scanning performance.,"Specs: 1D/2D scanning, 30 ft range, bluetooth connectivity, rechargeable battery."
Photography Equipment,Digital Camera,Fujifilm X-T4,I205,,CNT009,130986.09,7/2/2024,7/2/2027,3 years,PO1761,Jessica Foley,US152,Hughes-Baker,SUP108,1/28/2024,2/5/2024,6,123.15,738.9,CC194,GL20044,USD,Janice Johnston,1500000,1499638.08,Production,Employee,France,+33 7293335685,hughes-baker@gmail.com,2.16,5,9,4.49,"The Fujifilm X-T4 is a high-performance mirrorless camera with a 26.1MP sensor and 4K video recording, perfect for photographers and videographers.","Specs: 26.1MP APS-C sensor, 4K video, 15fps burst, 3.69M-dot EVF."
